date,outbound_discharge_m3s,valid_outlet_segments
2001-01-01,973.172,154
2001-01-02,975.891,154
2001-01-03,966.141,154
2001-01-04,952.672,154
2001-01-05,937.891,154
2001-01-06,925.953,154
2001-01-07,914.828,154
2001-01-08,902.281,154
2001-01-09,891.344,154
2001-01-10,882.688,154
2001-01-11,875.484,154
2001-01-12,887.094,154
2001-01-13,897.328,154
2001-01-14,905.672,154
2001-01-15,912.969,154
2001-01-16,910.078,154
2001-01-17,904.781,154
2001-01-18,900.891,154
2001-01-19,892.906,154
2001-01-20,885.109,154
2001-01-21,880.375,154
2001-01-22,874.828,154
2001-01-23,868.641,154
2001-01-24,861.656,154
2001-01-25,857.000,154
2001-01-26,857.172,154
2001-01-27,854.875,154
2001-01-28,848.797,154
2001-01-29,841.578,154
2001-01-30,834.531,154
2001-01-31,829.062,154
2001-02-01,823.938,154
2001-02-02,820.500,154
2001-02-03,818.625,154
2001-02-04,815.750,154
2001-02-05,811.906,154
2001-02-06,808.469,154
2001-02-07,805.781,154
2001-02-08,802.531,154
2001-02-09,799.156,154
2001-02-10,795.719,154
2001-02-11,792.719,154
2001-02-12,790.312,154
2001-02-13,788.156,154
2001-02-14,788.344,154
2001-02-15,790.750,154
2001-02-16,796.406,154
2001-02-17,803.250,154
2001-02-18,815.156,154
2001-02-19,844.094,154
2001-02-20,911.031,154
2001-02-21,1028.438,154
2001-02-22,1161.938,154
2001-02-23,1260.531,154
2001-02-24,1297.375,154
2001-02-25,1311.562,154
2001-02-26,1309.250,154
2001-02-27,1292.844,154
2001-02-28,1279.719,154
2001-03-01,1284.719,154
2001-03-02,1280.969,154
2001-03-03,1259.531,154
2001-03-04,1227.000,154
2001-03-05,1191.344,154
2001-03-06,1160.281,154
2001-03-07,1140.312,154
2001-03-08,1137.938,154
2001-03-09,1141.812,154
2001-03-10,1141.906,154
2001-03-11,1127.469,154
2001-03-12,1103.062,154
2001-03-13,1091.875,154
2001-03-14,1082.062,154
2001-03-15,1065.875,154
2001-03-16,1062.562,154
2001-03-17,1060.094,154
2001-03-18,1048.375,154
2001-03-19,1031.281,154
2001-03-20,1016.656,154
2001-03-21,1013.031,154
2001-03-22,1008.875,154
2001-03-23,1000.438,154
2001-03-24,996.281,154
2001-03-25,1009.719,154
2001-03-26,1013.781,154
2001-03-27,1001.188,154
2001-03-28,1007.938,154
2001-03-29,1011.719,154
2001-03-30,1000.719,154
2001-03-31,987.969,154
2001-04-01,977.594,154
2001-04-02,980.906,154
2001-04-03,987.594,154
2001-04-04,981.531,154
2001-04-05,969.281,154
2001-04-06,958.156,154
2001-04-07,965.656,154
2001-04-08,965.844,154
2001-04-09,953.500,154
2001-04-10,945.125,154
2001-04-11,938.469,154
2001-04-12,930.531,154
2001-04-13,922.344,154
2001-04-14,915.375,154
2001-04-15,908.625,154
2001-04-16,903.031,154
2001-04-17,897.875,154
2001-04-18,892.938,154
2001-04-19,888.500,154
2001-04-20,884.188,154
2001-04-21,880.562,154
2001-04-22,883.156,154
2001-04-23,890.906,154
2001-04-24,895.156,154
2001-04-25,907.000,154
2001-04-26,910.562,154
2001-04-27,901.625,154
2001-04-28,892.281,154
2001-04-29,884.719,154
2001-04-30,881.875,154
2001-05-01,879.531,154
2001-05-02,876.531,154
2001-05-03,873.750,154
2001-05-04,870.438,154
2001-05-05,867.094,154
2001-05-06,863.906,154
2001-05-07,860.719,154
2001-05-08,857.406,154
2001-05-09,855.062,154
2001-05-10,853.312,154
2001-05-11,853.062,154
2001-05-12,851.594,154
2001-05-13,849.562,154
2001-05-14,846.969,154
2001-05-15,844.188,154
2001-05-16,842.625,154
2001-05-17,843.562,154
2001-05-18,842.375,154
2001-05-19,838.656,154
2001-05-20,835.625,154
2001-05-21,833.188,154
2001-05-22,830.906,154
2001-05-23,829.594,154
2001-05-24,830.438,154
2001-05-25,830.781,154
2001-05-26,830.688,154
2001-05-27,862.219,154
2001-05-28,898.344,154
2001-05-29,902.031,154
2001-05-30,888.875,154
2001-05-31,870.875,154
2001-06-01,855.938,154
2001-06-02,845.281,154
2001-06-03,838.281,154
2001-06-04,833.594,154
2001-06-05,829.938,154
2001-06-06,827.062,154
2001-06-07,825.562,154
2001-06-08,827.875,154
2001-06-09,833.156,154
2001-06-10,833.031,154
2001-06-11,829.312,154
2001-06-12,825.875,154
2001-06-13,822.594,154
2001-06-14,819.844,154
2001-06-15,817.531,154
2001-06-16,815.297,154
2001-06-17,815.734,154
2001-06-18,815.469,154
2001-06-19,814.172,154
2001-06-20,812.562,154
2001-06-21,810.625,154
2001-06-22,808.375,154
2001-06-23,806.438,154
2001-06-24,804.375,154
2001-06-25,802.188,154
2001-06-26,801.219,154
2001-06-27,799.797,154
2001-06-28,797.766,154
2001-06-29,795.969,154
2001-06-30,793.906,154
2001-07-01,791.719,154
2001-07-02,789.859,154
2001-07-03,793.500,154
2001-07-04,793.750,154
2001-07-05,789.781,154
2001-07-06,787.984,154
2001-07-07,786.266,154
2001-07-08,784.094,154
2001-07-09,781.938,154
2001-07-10,779.688,154
2001-07-11,777.812,154
2001-07-12,777.969,154
2001-07-13,777.375,154
2001-07-14,775.453,154
2001-07-15,773.594,154
2001-07-16,774.766,154
2001-07-17,779.453,154
2001-07-18,781.484,154
2001-07-19,779.953,154
2001-07-20,776.094,154
2001-07-21,772.016,154
2001-07-22,768.984,154
2001-07-23,766.500,154
2001-07-24,764.188,154
2001-07-25,762.281,154
2001-07-26,760.328,154
2001-07-27,758.906,154
2001-07-28,757.328,154
2001-07-29,755.859,154
2001-07-30,754.172,154
2001-07-31,751.922,154
2001-08-01,749.766,154
2001-08-02,747.688,154
2001-08-03,746.062,154
2001-08-04,744.359,154
2001-08-05,742.531,154
2001-08-06,740.766,154
2001-08-07,739.078,154
2001-08-08,737.844,154
2001-08-09,736.484,154
2001-08-10,734.828,154
2001-08-11,732.953,154
2001-08-12,731.125,154
2001-08-13,729.266,154
2001-08-14,727.109,154
2001-08-15,725.188,154
2001-08-16,723.359,154
2001-08-17,721.812,154
2001-08-18,720.438,154
2001-08-19,719.375,154
2001-08-20,718.391,154
2001-08-21,718.203,154
2001-08-22,718.547,154
2001-08-23,718.141,154
2001-08-24,716.594,154
2001-08-25,714.328,154
2001-08-26,711.453,154
2001-08-27,708.922,154
2001-08-28,706.859,154
2001-08-29,705.531,154
2001-08-30,704.062,154
2001-08-31,702.125,154
2001-09-01,700.062,154
2001-09-02,698.359,154
2001-09-03,696.969,154
2001-09-04,695.477,154
2001-09-05,694.195,154
2001-09-06,693.008,154
2001-09-07,691.562,154
